date,open,close,high,low,volume,amount,amplitude,pct,change,turnover
2020-06-18,101.039,101.044,101.048,101.038,800730,8090674432.0,0.01,0.01,0.009,7.19
2020-06-19,101.054,101.027,101.06,101.0,1169135,11813565952.0,0.06,-0.02,-0.017,10.50
2020-06-22,101.027,101.041,101.049,101.027,1167725,11798326272.0,0.02,0.01,0.014,10.48
2020-06-23,101.044,101.044,101.05,101.029,938458,9482051584.0,0.02,0.00,0.003,8.42
2020-06-24,101.064,101.081,101.089,101.057,1010246,10210510336.0,0.03,0.04,0.037,9.07
2020-06-29,101.081,101.067,101.081,101.058,1106094,11178745856.0,0.02,-0.01,-0.014,9.93
2020-06-30,101.066,101.072,101.078,101.047,1146065,11582001152.0,0.03,0.00,0.005,10.29
2020-07-01,101.076,101.091,101.093,101.073,1032816,10439728640.0,0.02,0.02,0.019,9.27
2020-07-02,101.085,101.085,101.09,101.058,1078843,10904818944.0,0.03,-0.01,-0.006,9.68
2020-07-03,101.082,101.103,101.12,101.051,1141578,11538626816.0,0.07,0.02,0.018,10.25
2020-07-06,101.07,101.078,101.091,101.052,1404120,14192180992.0,0.04,-0.02,-0.025,12.60
2020-07-07,101.053,101.127,101.129,101.05,1211465,12246660864.0,0.08,0.05,0.049,10.88
2020-07-08,101.12,101.151,101.159,101.1,1008408,10198410496.0,0.06,0.02,0.024,9.05
2020-07-09,101.14,101.157,101.16,101.13,840098,8497175552.0,0.03,0.01,0.006,7.54
2020-07-10,101.148,101.208,101.21,101.148,726687,7351564800.0,0.06,0.05,0.051,6.52
2020-07-13,101.158,101.194,101.2,101.151,854064,8640452608.0,0.05,-0.01,-0.014,7.67
2020-07-14,101.167,101.241,101.25,101.167,921419,9323977984.0,0.08,0.05,0.047,8.27
2020-07-15,101.24,101.282,101.288,101.196,764292,7738151424.0,0.09,0.04,0.041,6.86
2020-07-16,101.22,101.259,101.3,101.217,1029697,10425303552.0,0.08,-0.02,-0.023,9.24
2020-07-17,101.24,101.236,101.25,101.203,1262088,12775739136.0,0.05,-0.02,-0.023,11.33
2020-07-20,101.225,101.199,101.225,101.191,1130725,11443937280.0,0.03,-0.04,-0.037,10.15
2020-07-21,101.192,101.21,101.213,101.191,1056824,10695260928.0,0.02,0.01,0.011,9.49
2020-07-22,101.207,101.196,101.21,101.191,1150356,11641788928.0,0.02,-0.01,-0.014,10.33
2020-07-23,101.204,101.213,101.215,101.192,1038408,10509306880.0,0.02,0.02,0.017,9.32
2020-07-24,101.22,101.229,101.244,101.215,998572,10108436224.0,0.03,0.02,0.016,8.96
2020-07-27,101.221,101.231,101.239,101.216,961512,9733302272.0,0.02,0.00,0.002,8.63
2020-07-28,101.231,101.23,101.236,101.225,917984,9292861440.0,0.01,0.00,-0.001,8.24
2020-07-29,101.235,101.214,101.235,101.209,1293702,13095027968.0,0.03,-0.02,-0.016,11.61
2020-07-30,101.209,101.233,101.238,101.209,977383,9893656064.0,0.03,0.02,0.019,8.77
2020-07-31,101.246,101.241,101.248,101.22,1207264,12221937152.0,0.03,0.01,0.008,10.84
2020-08-03,101.24,101.243,101.247,101.238,1109462,11232381440.0,0.01,0.00,0.002,9.96
2020-08-04,101.246,101.266,101.298,101.244,936172,9479104768.0,0.05,0.02,0.023,8.40
2020-08-05,101.27,101.264,101.271,101.259,828821,8392966144.0,0.01,0.00,-0.002,7.44
2020-08-06,101.269,101.283,101.287,101.264,897830,9092344576.0,0.02,0.02,0.019,8.06
2020-08-07,101.295,101.285,101.499,101.28,925631,9375605504.0,0.22,0.00,0.002,8.31
2020-08-10,101.287,101.291,101.292,101.28,831954,8426426624.0,0.01,0.01,0.006,7.47
2020-08-11,101.29,101.297,101.309,101.286,900468,9121285888.0,0.02,0.01,0.006,8.08
2020-08-12,101.299,101.296,101.308,101.294,785629,7958571008.0,0.01,0.00,-0.001,7.05
2020-08-13,101.301,101.308,101.312,101.298,671729,6804858880.0,0.01,0.01,0.012,6.03
2020-08-14,101.312,101.301,101.317,101.296,818862,8295760384.0,0.02,-0.01,-0.007,7.35
2020-08-17,101.3,101.305,101.308,101.297,1172136,11874045440.0,0.01,0.00,0.004,10.52
2020-08-18,101.31,101.315,101.317,101.304,798098,8085431296.0,0.01,0.01,0.010,7.16
2020-08-19,101.32,101.324,101.33,101.316,820945,8317951488.0,0.01,0.01,0.009,7.37
2020-08-20,101.315,101.343,101.347,101.315,830773,8418193408.0,0.03,0.02,0.019,7.46
